id;type;start;end;text;norm;score;apply;replacement
PER:549-560;PER;549;560;И.О. Петров;;0.50;false;[PER_001]
ADDR:931-1006;ADDR;931;1006;обл. Томская, р-н Ленинский, с. Первомайское, ул. Ленина, д. 5 к.1 стр.2 кв;;0.70;false;[ADDR_001]
ADDR:1034-1077;ADDR;1034;1077;город Владимир, проспект Мира, дом 10, корп;;0.70;false;[ADDR_002]
PHONE:1275-1290;PHONE;1275;1290;8 981 214 13 45;+79812141345;0.90;true;[PHONE_001]
PHONE:1331-1349;PHONE;1331;1349;+7 (917) 854-23-96;+79178542396;0.90;true;[PHONE_002]
PHONE:1390-1405;PHONE;1390;1405;8 975 532 14 13;+79755321413;0.90;true;[PHONE_003]
PHONE:1446-1461;PHONE;1446;1461;8 929 617 87 13;+79296178713;0.90;true;[PHONE_004]
PHONE:1502-1517;PHONE;1502;1517;8 991 765 99 79;+79917659979;0.90;true;[PHONE_005]
PHONE:1558-1573;PHONE;1558;1573;7-957-703-45-10;+79577034510;0.90;true;[PHONE_006]
PHONE:1614-1632;PHONE;1614;1632;+7 (943) 384-29-37;+79433842937;0.90;true;[PHONE_007]
PHONE:1673-1701;PHONE;1673;1701;+7 (911) 489-22-55 доб. 5645;;0.90;true;[PHONE_008]
PHONE:1742-1760;PHONE;1742;1760;+7 (933) 926-15-68;+79339261568;0.90;true;[PHONE_009]
PHONE:1801-1829;PHONE;1801;1829;+7 (948) 180-80-47 доб. 5935;;0.90;true;[PHONE_010]
SNILS:1871-1882;SNILS;1871;1882;79248211815;792-482-118 15;0.20;false;[SNILS_001]
SNILS:1924-1935;SNILS;1924;1935;79109753922;791-097-539 22;0.20;false;[SNILS_002]
SNILS:1977-1988;SNILS;1977;1988;79587505630;795-875-056 30;0.20;false;[SNILS_003]
PHONE:2029-2057;PHONE;2029;2057;+7 (926) 786-44-99 доб. 1179;;0.90;true;[PHONE_011]
PHONE:2098-2113;PHONE;2098;2113;7-981-275-78-41;+79812757841;0.90;true;[PHONE_012]
PHONE:2154-2169;PHONE;2154;2169;8 948 376 91 98;+79483769198;0.90;true;[PHONE_013]
SNILS:2211-2222;SNILS;2211;2222;79874321739;798-743-217 39;0.20;false;[SNILS_004]
SNILS:2264-2275;SNILS;2264;2275;79513741837;795-137-418 37;0.20;false;[SNILS_005]
PHONE:2316-2331;PHONE;2316;2331;8 927 771 73 60;+79277717360;0.90;true;[PHONE_014]
SNILS:2373-2384;SNILS;2373;2384;79332424181;793-324-241 81;0.20;false;[SNILS_006]
SNILS:2426-2437;SNILS;2426;2437;79956986484;799-569-864 84;0.20;false;[SNILS_007]
PHONE:2478-2496;PHONE;2478;2496;+7 (928) 241-75-73;+79282417573;0.90;true;[PHONE_015]
PHONE:2537-2565;PHONE;2537;2565;+7 (914) 256-90-30 доб. 6926;;0.90;true;[PHONE_016]
PHONE:2606-2634;PHONE;2606;2634;+7 (908) 494-58-86 доб. 7678;;0.90;true;[PHONE_017]
PHONE:2675-2703;PHONE;2675;2703;+7 (932) 666-11-97 доб. 1886;;0.90;true;[PHONE_018]
SNILS:2745-2756;SNILS;2745;2756;79963739253;799-637-392 53;0.20;false;[SNILS_008]
PHONE:2797-2825;PHONE;2797;2825;+7 (955) 261-68-10 доб. 4325;;0.90;true;[PHONE_019]
PHONE:2866-2894;PHONE;2866;2894;+7 (997) 282-74-23 доб. 4899;;0.90;true;[PHONE_020]
PHONE:2935-2963;PHONE;2935;2963;+7 (977) 303-29-57 доб. 2656;;0.90;true;[PHONE_021]
PHONE:3004-3019;PHONE;3004;3019;7-999-643-10-86;+79996431086;0.90;true;[PHONE_022]
PHONE:3060-3078;PHONE;3060;3078;+7 (902) 214-56-49;+79022145649;0.90;true;[PHONE_023]
PHONE:3119-3134;PHONE;3119;3134;7-930-999-82-20;+79309998220;0.90;true;[PHONE_024]
PHONE:3175-3190;PHONE;3175;3190;7-908-878-78-26;+79088787826;0.90;true;[PHONE_025]
PHONE:3231-3246;PHONE;3231;3246;7-970-269-43-77;+79702694377;0.90;true;[PHONE_026]
PHONE:3287-3302;PHONE;3287;3302;7-927-652-98-35;+79276529835;0.90;true;[PHONE_027]
PHONE:3343-3358;PHONE;3343;3358;7-985-765-57-66;+79857655766;0.90;true;[PHONE_028]
PHONE:3399-3417;PHONE;3399;3417;+7 (915) 353-38-18;+79153533818;0.90;true;[PHONE_029]
PHONE:3458-3476;PHONE;3458;3476;+7 (975) 667-39-85;+79756673985;0.90;true;[PHONE_030]
PHONE:3517-3535;PHONE;3517;3535;+7 (909) 824-90-17;+79098249017;0.90;true;[PHONE_031]
PHONE:3576-3591;PHONE;3576;3591;8 904 980 52 19;+79049805219;0.90;true;[PHONE_032]
PHONE:3632-3647;PHONE;3632;3647;8 935 785 72 37;+79357857237;0.90;true;[PHONE_033]
PHONE:3688-3703;PHONE;3688;3703;7-992-684-83-70;+79926848370;0.90;true;[PHONE_034]
SNILS:3745-3756;SNILS;3745;3756;79522942222;795-229-422 22;0.20;false;[SNILS_009]
PHONE:3797-3815;PHONE;3797;3815;+7 (954) 520-69-16;+79545206916;0.90;true;[PHONE_035]
PHONE:3856-3871;PHONE;3856;3871;8 951 845 53 23;+79518455323;0.90;true;[PHONE_036]
PHONE:3912-3927;PHONE;3912;3927;8 924 649 67 27;+79246496727;0.90;true;[PHONE_037]
PHONE:3968-3996;PHONE;3968;3996;+7 (935) 573-41-19 доб. 7270;;0.90;true;[PHONE_038]
PHONE:4037-4055;PHONE;4037;4055;+7 (912) 151-93-79;+79121519379;0.90;true;[PHONE_039]
PHONE:4096-4111;PHONE;4096;4111;7-996-969-40-31;+79969694031;0.90;true;[PHONE_040]
PHONE:4152-4167;PHONE;4152;4167;7-961-318-61-17;+79613186117;0.90;true;[PHONE_041]
PHONE:4208-4223;PHONE;4208;4223;7-900-499-43-68;+79004994368;0.90;true;[PHONE_042]
PHONE:4264-4279;PHONE;4264;4279;8 989 848 81 94;+79898488194;0.90;true;[PHONE_043]
PHONE:4320-4348;PHONE;4320;4348;+7 (924) 403-37-17 доб. 9499;;0.90;true;[PHONE_044]
PHONE:4389-4416;PHONE;4389;4416;+7 (907) 865-50-17 доб. 831;;0.90;true;[PHONE_045]
PHONE:4457-4484;PHONE;4457;4484;+7 (961) 614-77-30 доб. 941;;0.90;true;[PHONE_046]
PHONE:4525-4543;PHONE;4525;4543;+7 (910) 971-33-18;+79109713318;0.90;true;[PHONE_047]
PHONE:4584-4612;PHONE;4584;4612;+7 (986) 982-40-61 доб. 1974;;0.90;true;[PHONE_048]
PHONE:4653-4668;PHONE;4653;4668;7-931-692-86-15;+79316928615;0.90;true;[PHONE_049]
SNILS:4710-4721;SNILS;4710;4721;79846978276;798-469-782 76;0.20;false;[SNILS_010]
PHONE:4762-4777;PHONE;4762;4777;7-926-785-50-40;+79267855040;0.90;true;[PHONE_050]
SNILS:4871-4885;SNILS;4871;4885;247-510-799 81;247-510-799 81;1.00;true;[SNILS_011]
SNILS:4905-4919;SNILS;4905;4919;118-384-251 63;118-384-251 63;1.00;true;[SNILS_012]
